source_variable,source_label,target_field,target_code,target_term,mapped_in_entities,ontology_verification_status
id_hostseq,HostSeq study ID,submitter_diagnosis_id | submitter_participant_id | submitter_sociodem_id | submitter_treatment_id,,,"comorbidity, demographic, diagnosis, exposure, household, measurement, medication, participant, phenotype, procedure, sociodemographic, specimen, treatment",
redcap_repeat_instrument,Repeat Instrument,,,,,
redcap_repeat_instance,Repeat Instance,,,,,
consent,Was informed consent obtained?,,,,,
covid19_test,Laboratory confirmed COVID-19 test result,"disease_code, disease_term, disease_source_text",,,diagnosis,
covid19_suspected___0,"If negative or not tested, is the participant suspected to be COVID-19 positive? (choice=No - Please do not proceed. Participant is excluded from HostSeq)",,,,,
covid19_suspected___1,"If negative or not tested, is the participant suspected to be COVID-19 positive? (choice=Yes, participant has clinical signs of COVID-19)",diagnosis_note,,,diagnosis,
covid19_suspected___2,"If negative or not tested, is the participant suspected to be COVID-19 positive? (choice=Yes, participant was exposed to a confirmed household member)",diagnosis_note,,,diagnosis,
covid19_suspected___3,"If negative or not tested, is the participant suspected to be COVID-19 positive? (choice=Yes, participant was exposed at work)",diagnosis_note,,,diagnosis,
covid19_suspected___4,"If negative or not tested, is the participant suspected to be COVID-19 positive? (choice=Yes, participant was exposed during travels in an affected area)",diagnosis_note,,,diagnosis,
covid19_suspected___5,"If negative or not tested, is the participant suspected to be COVID-19 positive? (choice=Yes, participant demonstrated no COVID-19 related symptoms but was highly exposed)",diagnosis_note,,,diagnosis,
covid19_suspected___6,"If negative or not tested, is the participant suspected to be COVID-19 positive? (choice=Unknown)",diagnosis_note,,,diagnosis,
study_eligibility_complete,Complete?,,,,,
host_hospital,Host hospital,host_hospital,,,demographic,
pi,Site PI,,,,,
id_source_study,Source study ID,,,,,
enrollment_date,Source study enrollment date,age_at_enrollment | age_at_sociodem_collection | sociodem_date_collection,,,"demographic, sociodemographic",
other_covid_study,,,,,,
other_covid_study_pi,,,,,,
other_covid_study_pi_2,,,,,,
other_covid_study_pi_3,,,,,,
other_covid_study_site,,,,,,
other_covid_study_site_2,,,,,,
other_covid_study_site_3,,,,,,
age,age,age_at_diagnosis | age_at_enrollment | age_at_sociodem_collection,,,"demographic, diagnosis, sociodemographic",
sex,Sex at birth,sex_another_category | sex_at_birth,,,sociodemographic,
gender,Gender,gender,,,sociodemographic,
gender_desc,Please describe your gender,gender_another_gender,,,sociodemographic,
dob_month,Month of birth,dob_month,,,sociodemographic,
